id,tags
1,motion particles spin
2,string-theory explanation
3,particle-physics standard-model space
7,uncertainty-principle 
9,system state principle
13,sound term life
15,string-theory experiment group
17,color
19,kinetic-energy higgs-boson mass
21,physics method
24,momentum experiment direction
26,electromagnetic-field speed velocity
27,wave-function classical-mechanics quantum-mechanics
29,time speed frac
31,special-relativity theory einstein
32,water effect direction
35,energy force magnets
37,general-relativity theory physics
41,field-theory physics structure
49,body properties
52,kinetic-energy spin magnets
62,circular
68,physics effect stress
71,effect phase laser
72,electron proton rays
73,quantum equation representation
75,force surface measurement
78,gravity stars neutron
79,quantum-entanglement states photons
83,light state photon
85,mass neutron proton
89,general-relativity newton-law field-equations
90,earth radiation direction
93,coulomb-law gauss-law force
94,light simple measure
95,cosmological-constant dark-matter standard-model
98,binding-energy mass formula
100,energy process neutron
101,beam proton
102,centripetal-force gravity earth
111,classical-mechanics hamiltonian form
115,phase-space hamiltonian area
122,light mass electrons
123,mass measure measurement
127,physics point position
129,standard-model higgs-boson energy
134,quantum state spin
139,speed neutrinos
141,navier-stokes work temperature
142,heat-capacity time water
145,water temperature simple
147,wave-function quantum particle
156,magnetic-field earth
159,force gravity earth
160,mechanics motion newton
166,energy field matter
167,angular-velocity magnetic-field maxwell-equations
168,system motion inside
173,acceleration absolute quantity
185,higgs-boson energy work
186,mass work acceleration
191,mechanism
193,string-theory physics representation
196,faster-light time relativity
197,general-relativity standard-model energy
198,particle-physics standard-model energy
202,fourier-transform wave physics
208,gravitational-force mass-energy centripetal-force
214,inside impact decrease
217,pressure surface component
218,einstein glass experiments
222,physics
228,angular-momentum force mass
234,time physics work
236,electron-positron mass particles
237,volume shape reason
239,light mass object
252,quantum-field-theory perturbation-theory quantum-mechanics
257,energy particle particles
258,density position angle
268,energy gravity water
270,heat body inside
271,angular-velocity conservation-energy force
272,quantum-mechanics physics relativity
286,angular explanation vectors
290,pressure effect fluid
296,conservation-energy quantum-mechanics mass
300,work effect model
303,water body sound
304,energy sound shape
305,photoelectric-effect energy electron
312,particle-physics special-relativity quantum-mechanics higgs-boson
317,wave-function quantum-mechanics physics
321,centripetal-force mass space
326,angular-momentum time number
328,angular-momentum time force
331,angular rate period
335,light electrons electricity
339,light phase relation
340,principle inside lens
341,physics relation
347,water electricity pure
353,time force mass
356,mass earth measure
357,speed-of-light derive experiments
361,inertial-frame twin-paradox time
363,general-relativity books
364,gravity hole objects
370,temperature explanation concept
371,gravitational-field time gravity
379,field quantum light
383,physical-meaning force forces
384,force velocity physics
386,fourier-transform space function
387,space-time general-relativity quantum-mechanics
388,total-energy center-mass mass-energy
389,particle-physics dirac-equation energy
391,observable-universe time physics
401,time physics equations
408,black-holes gravitational star
409,black-holes black-hole galaxy
414,theory physics number
419,magnetic-field particle velocity
420,energy force gravity
425,black-body energy motion
426,energy earth surface
427,space-time general-relativity quantum-mechanics virtual-particles
429,field light vector
433,function density distribution
437,schr-dinger-equation dirac-equation quantum-mechanics single-photon
439,space distance number
442,force parallel axis
454,electric-field time system
455,air-resistance mass gravity
461,black-hole speed-of-light event-horizon
463,quantum-mechanics 
466,light photons vacuum
478,electric-field magnetic-field field-strength
482,ising-model statistical-mechanics lattice
484,cross-section speed-of-light time
486,magnetic-field maxwell-equations current-density
490,equation-motion equations formula
493,magnetic-field electric-magnetic time
494,quantum-field-theory field quantum
501,mass body simple
503,lorentz-transformation special-relativity quantum
506,speed
507,speed power friction
